rating,review
2.0,"I have wasted too much money trying to find loose fitting tops like in the picture, even when ordering 2XL and still too snug and NOT comfy.  Once again I fell into the trap.  Made in China, do I need to say more??"
2.0,"Eh it was ok, I didn’t like how the material looked so stretchy to the flowers looked odd. If I didn’t wear it I would have returned it but I needed it the same day I got it."
2.0,"Nice mask, but the otter is not centered like in the picture. Was disappointed that on the mask I received, otter was missing its eye / whole right side of its face."
2.0,I bought these to avoid thigh rub under a dress. They slid down with every step I took.
2.0,"While the necklace was beautiful, the clasp would never securely clip. Only reason it stays on is due to the side clasps, the main clasp doesn’t stay clipped. Kind of expect a better clasp and not broken on arrival. Unfortunately this has to be returned."
2.0,Did not like that the top was wide open and would need a tank top. Returned it.
2.0,"I ordered these leggings a year ago, and they were perfect - thick, tighter in the tummy tucking area, color matched online pictures. BUT THEN I ordered them a week ago - completely different. The color doesn’t match the picture (specifically grey), the leggings are very thin, there’s already a hole in the seem, and it’s so stretchy that it doesn’t stay up well (especially in the tummy). And you can see through them! Very disappointing."
2.0,It's cut with too much of a taper which makes the size way too small.  I ordered a 2x  it fits like a size 12.  I will be returning this.
2.0,"Bought a size up, which I'm glad I did, but I still thought it was a little snug.  Also, I bought White, and it was too see through for me.  I'm sending it back.  I had better luck with the almost exact same blouse found on Amazon under &#34;LILBETTER Women's Loose Casual Short Sleeve Chiffon Top T-shirt Blouse.&#34;  That product is true to size, unlike this one."
2.0,Flimsy don't hold up.  Sad.
2.0,Loved the look .. however they broke after only a few wears 😩
2.0,Cute sweater. Color matched what was shown. Very thin material. Shoddy seam work. See pictures. The right shoulder seam had a 1 inch hole that was not sewn together. The right under arm seam had a glob of string hanging from it.
2.0,VERY LOUD watch.
2.0,This is a nice dress but the fabric is very thin.
2.0,Decent pants but the crotch is way too low and wide.
2.0,"This little bag is gorgeous. But the one we got had loose sequins in the bag and loose threads that were dripping off more sequins. The lining makes it impossible to repair nicely, so we had to return it. Too bad, it really is pretty."
2.0,"Not quality made, no way to shape back once you take it off, the seams don't align with the rest of the material!"
2.0,"There seems to be something about the friction of bare skin that makes this most effective.  However, I need to wear a bra, so I didn't find this product worth the expense. I gave the overall fit 'as expected' because it to get the body to fit me the shoulders were a bit loose, which defeats the purpose."
2.0,"Not flattering on my body, and not especially high-quality velvet. I'm planning to return it"
2.0,"So I would love love to give this 5 starts but alas I have purchased this beautiful bracelet twice, only to have it break. The 2nd time I think it broke on my 1st wearing. I'm delicate with my jewelry. The 1st time I probably got a solid month or to out of it, hence why I purchased it again to give it another try. Now I have put out hundreds of dollars I'm really bummed. I will add before it broke that it was my favorite bracelet  & felt like a dream to wear. Ughhh...so tempted to try again but will learn my lesson."
2.0,The glasses are to high on face and far away..they don’t fit right and feel cheap
2.0,Didn't not cover my stomach was too small i will be returning for a wider one
2.0,Much bigger than expected and not very fitted like it looks. The material is shiny and slick and not my style. I returned.
2.0,PROS:<br />affordable<br />Durable<br />Strong<br /><br />CONS:<br />No half sizes<br />Wont allow the skin to breathe (causing scaly dry skin)<br /><br />Overall. It comes down to comfort and strength. Although it has these is it really worth the irritation from lack of air getting under your ring? Go with a groove ring on this one or something comparable.
2.0,Doesn’t even fit my 12 year olds head.
2.0,Hat is thick but the bunny on top of it is not cute. Ugliest bunny I’ve ever seen.
2.0,"I was not impressed with this sweater when it arrived but loved the design and wanted to give it a shot. I washed it (according to directions) and it shrunk a lot. For what it cost, this is not a good value in my opinion."
2.0,I bought this so i would not have a buckle digging into stomach and to help hold my jeans up.  It did work but i had to tighten soooo tight it was riding up my low back.
