rating,review
2.0,This dress/long tunic fits really strange.  It's tight across the chest and I'm not busty and the dress fabric (not sleeve) is rough and scratchy and doesn't give like the sleeves do.
2.0,very thin. not sweatshirt material. its like a long sleeve t-shirt material.
2.0,Wore these stockings once and they ran through. Bought another pair just because it is so hard to find ivory stockings that I like. And yet again they ran through! It's true what they say that prices can match the quality.
2.0,"I got the 3X but lol this has hardly any stretch or you will pop the threads as seen in my photos. The part around your waist has a little stretch but none over the shoulders. The underwires come out. It’s cheap & cute but too small for this big girl. I’m 365lbs 48dd and brave enough to wear this but naw. So, if you’re about 265-320, I think it should fit or 40D."
2.0,hate the fabic
2.0,They did not look as flashy in person but okay.
2.0,"The colors are nothing like the picture and I am viewing them on an iPad Pro. The real life colors are more garish and not as muted as pictured, e. g. the blue is a bright royal blue, not a muted, almost greenish dark blue, the red is a very bright red, not like a burgundy. I was really hoping I would receive something close to what’s shown on the Amazon website. The material is not much to write home about but that’s what I expected and I’m fine with that. I wanted something lightweight to wear instead of a heavy scarf and this will work for me (its not itchy, that’s good). It’s the color difference that I’m disappointed with!!! Oh well, they were cheap, so the two stars are for the ok material."
2.0,Fabric  is not soft
2.0,I purchased the navy color in my normal size large and it was too big. I returned it to exchange for a medium in the beige color. It just arrived and I will be returning that one because the beige in real life looks more yellow than tan.
2.0,Wore this for less then 2 hours and little bits of paint were all over my chest. Do not purchase
2.0,I thought it was going to be a little more dressy. It's an oversized sweatshirt
2.0,Product itself is good.  Ordered a size bigger than I normally wear based on sizing reccomendations and it is still too small.  The red is more pink than red.
2.0,More than one pair of socks should be in the package for this price. Leaving specifics off the description is sneaky.
2.0,I’ve been looking for a cute blazer short set. I ordered the rose/fuchsia. The color was bright and beautiful! But it definitely was not what I thought it was. In the picture the shorts look like it has a hook closure. What I received was an elastic waist short. The material was like a satin polyester blend. The images make the short set look sturdier. I do not recommend. I will be returning this set.
2.0,"Fit great when I took it out of the package,  then when I washed it it shrunk in length and didn't fit as well as it did before"
2.0,"Nice cap, but not meant to fit an adults head. This cap is made for a child."
2.0,"If you can make your own, do it. I tried to put it on and I cut my nose because the edges are so sharp. I will need to sand it down to make it smooth and add detail to the mask."
2.0,small for a young child&#34;s wrist.Beads are not 6mm
2.0,"Came with a hole in it, did not notice until someone showed it to me ."
2.0,"The nightgown is too tight in the hips. It also has a seam attaching the bodice to the rest of the gown that has no darts or gathering and is not flattering. It would be better off to not have the seam. As it is, it makes the bust line look flat and the hips tight."
2.0,They are nothing like the picture. Very shinny yellow gold and much smaller than they appeared. But they are still fine earrings. Just not at all what is advertised
2.0,"The latch is so tight, I could not get the watch on or off without using my teeth. Also, the watch is so long and I have to get it sized by going to a jeweler to remove some of the links for me to be able to wear it. I am a big woman and the watch is too big on my wrist. I don't think it is worth the trouble to have to go to a jeweler to have to get it sized. Especially, not for a watch that is under $20. I do not recommend."
2.0,These are panty hose type of thin.
2.0,Paint came off after a couple days and irritated my nose. It's  too bad because they are super cute
2.0,"This is a really cute design but that is the only good thing about it. It’s really thin. It runs really small. I’m 5’5” 36B and usually wear a small, sometimes x small. I ordered a medium and could wear it but the room was limited under the armpits. The worst part about this is it is all polyester and will make you sweat!"
2.0,"The overall design of the suit is cute, but I ordered a size large based on the size chart as I usually wear a 10 in pants. However, the bottoms are definitely too small. The top almost fits, but I have a large bust (36 D/DD depending on brand) and I think an XL will fit better without making me feel like my boobs are being squished out the top. My biggest complaint though is that the super cute wide black and white striped fabric is pretty thin and the back of the bottoms are unlined so the white areas are pretty see through. I can only imagine how sheer they would be once wet. I am returning for both of these reasons. I have ordered an XL in a darker color so I can hopefully be a little more modest, but I loved the black and white pattern so I'm sad that the quality of the bottoms was so poor."
2.0,This runs big.
2.0,The fabric is great (black/white gingham) but I was really disappointed in the fit of this item. I ordered a medium but it did not fit right at all. I normally wear a small or medium.
2.0,"I usually wear a L. Purchased 2XL. It’s very low rise! Barely covers half my butt. Other than that, the fabric is nice and soft."
2.0,"The chain looks great, but broke in less than 4 months. I guess you get what you pay for, but I’m still disappointed."
2.0,Extremely tight under the arm pit
2.0,"Not cute like the pic. Jersey material, I was thinking it would be more flowy. Returned."
2.0,"I returned it - looks like a dress, not a swimsuit"
2.0,just looks cheap
2.0,"It's ok it was comfortable to wear.  You have to remove it, can't wear it in the shower.  I wore it to a wedding and it was a nice addition to my outfit.<br />If you're used to the finer things in life, this isn't for you"
2.0,Very form fitting. I will be returning this or giving it away .
2.0,I loved this as soon as I got it but once I washed it it looked cheap and the fabric no longer looks as vibrant. Super disappointing. I'm sure it looks nice from afar but up close it looks really cheap. Not worth the money I spent on it or the money I spent on a second one before I realized how bad it was.
2.0,makes my head hurt.
2.0,I ordered a 22 mm watch band. The watch band itself is a little bit too firm and stiff but OK for the price.<br />Problem: The included spring bars are about one millimeter too short which makes them unusable. I had to take out these and to use the spring bars from the original old watch band to be able to mount these WOCCI Quick Release Watch Band to my watch.
2.0,"There is thick stiff padding for your back and not where you need it.  Additionally, the leg holes are angled not horizontal.  They are long in the crotch and short on the sides. Strangest fit ever."
2.0,"It is supposed to be sterling, but does not look like it--not mellow glow but very shiny.  I will take to jeweler & update review based on that."
2.0,This is just one of those you-get-what-you-pay-for things. The only thing that I wish is that they'd managed to get it here more quickly.
