rating,review
3.0,Decent material and workmanship but sized too small for US standards.
3.0,"I really want to like this bra. It looks so comfortable and the fabric is great. Unfortunately, I think I should have gotten a large because it is rather tight on me (and I don't consider myself large chested). This makes getting it on and off a bit of a challenge. I also had to take the liners out of the cups because they would not stay in the proper place and kept sliding around on me. For me, it is more comfortable without them anyway and I still feel like I have plenty of support. The fabric is great at absorbing sweat and washes very well."
3.0,Needed the next size!
3.0,Bulky. As all previous models the thermometer is useless.  The watch has to be taken off your wrist for over 45 minutes to get any reasonably accurate reading.<br />Mannual is a nightmare to read.  I think this is a result of way too many features that most people do not need or care about. Frustrating to access features.
3.0,too large on face for me
3.0,Needed for a high school play.  Worked perfectly!
3.0,"Great casual dress.<br />Feels like jersey material, nice and stretchy. Has pockets which I love!<br />Only con is it has seem running across the chest. I can’t wait figure out if it’s supposed to go under my breast or across. If it put it below, a lot of my chest and cleavage shows. If I put it above my breast, it looks a little funny. But I still think it’s good for price, pockets, and something to wear casually.<br />*I tried attaching a photo but it won’t allow me from my phone?*"
3.0,"My God they are only Plastic inserts, how bad can you screw it up?"
3.0,"A bit disappointed. The charm and connection to loop are great, but the saying on it is not readable."
3.0,"Good quality and great price but size runs really small.  Given that it’s made in China and Asian sizes as way smaller, I ordered a large (I’m a medium) and it still fit really small (zipper wouldn’t close all the way) and it was too tight around the waist.  I’m 5’3 and 135lbs.  This skirt had to be at least 2 sizes up to fit me properly & comfortably.  As for the length, it fit above the knee on me."
3.0,Plamayplluu
3.0,was too small on the arms and rather not he exact look expected
3.0,I could not figure out how to set it up. It is really hard to see. For what I needed it for it is fine.
3.0,I feel it runs a little small.  I'm keeping it and will wear to work but not sure I'd wear it socially.  The color is beautiful though.
3.0,I am on the fence with these. I bought them at the same time as the eagle creek spectre bag and I love the size of the medium. Its the perfect size to fit in my 19liter bag. The zipler does not compare to the Eagle creek brand. It got jammed the first time I tried using it. Also i wish there was a second zipper on the other side to store smaller undergarments or dirty laundry. I do like how the zipper opens all the way around as opposed to tue Eagle Creek one. I may hang onto it for kids use. Not sure yet. It might be better off for me to spend a bit more for the quality.
3.0,Nice material but should definitely go a size or two smaller than your usual.
3.0,Don't care for this material for the beach.  Nice color.
3.0,"The complaint I have with this otherwise sturdy-built measuring cone is it doesn't work for smaller wrists. Fortunately, my size is the very top &#34;ledge&#34; - 6.67&#34;. Some of the people I make bracelets for have smaller wrists, so I can't use it for them."
3.0,"The wide-leg flare sweatpants with pockets come in multiple color options.  The size chart should be used to insure selection of proper size and fit.  Although the size guide was use, the sweatpants were too long by three inches and the waist a little too tight.  The price value was higher than expected for casual sweatpants.  Shows as described on the Amazon online store.<br /><br />Design & Style: Good<br /><br />Quality of material: Good<br /><br />Stitching & Sewing:  Good<br /><br />Alignment for style type:  Good<br /><br />Fit for size: Very Poor – Too long, waist too tight<br /><br />Cost/Price Value: Higher than expected for casual sweatpants<br /><br />Shows as described:  Yes"
3.0,The leotard runs small. Not enough stretch for taller boy frames.
3.0,"Im a medium in all shirts and that even leaves them a little baggy sometimes. I was so excited about this top! It got here and i put it on and it was snug, a little too small. Still wearable! So i went to look in the mirror and LOW AND BEHOLD both my titties are there for the whole world to see! It is completely see through and too small to comfortably wear a brallette underneath it. I will be returning it and getting a larger size... hopefully this one wont expose my whole titties to the world!  I reccomend getting 1 or 2 sizes larger than your normal size. If you go braless like me this is probably not it for you."
3.0,"Other than running a little small, it is comfy and I find it pretty absorbent."
3.0,The design is great for the price the hat is not made for big heads and it has a great vintage color but my only problem is the bill is not aligned with the hat itself. The bill was stitched on badly and its sideways looks kinda funny.
3.0,"They look great, feel ok, but did not seem like they would break in enough to be comfortable.  They are also quite heavy. For that price, I need them to work. Returned.  Very disappointed, because it's hard to find great vegan footwear."
3.0,Nice bracelets but not the best quality.
3.0,"I bought the xlarge, but it runs small for a busty person."
3.0,"It's not that its a bad hat ... actually in some ways it's nice. Came a bit ""bent"" but can be re-shaped fairly easily. The only real issue is that it doesn't necessarily look like a ""real"" hat. A little like a costume hat. But if you want something casual and not too dressy, this can work."
3.0,"The sizes are not specific enough for me. I ordered a large in a different color, and it makes me look like a child planning in her mother’s clothes. I ordered a medium, and it’s too small to drape properly. Very sad about that because it is as cute as the pictures in the listing!"
3.0,"I thought this would be cute for Valentine’s Day.  It fit so snug & so tight it was though it was for a child. It was horrible & a gross disappointment. There was so much spandex in it, I might as well have bought a girdle.  Terribly disappointed."
3.0,"Shipping was quick. The fabric smells like a wet dog. You can tell it’s cheap but it fits nicely. I’m 5’4”, 140lbs and Small fits right."
3.0,Fits well but was hung too much for my liking. The fabric is thicker which is nice considering it's rayon but felt like it was pulling me down and falling off.
3.0,not so impressed with fit...
3.0,"The quality is low, the fit is a tad too small. You will really only want these for occasional costume purposes. They will NOT last for frequent wear."
3.0,They are pretty once you get them in but over time these will break with all the movement on the back require to slide them on
3.0,SOME LOOK REALLY GOOD QUALITY OTHERS DON'T
3.0,Perfect length on arms and legs but the zipper is plastic junk. I was unable to wear this because the zipper was stuck. My husband used needle nose pliers to help it to zip up but it would not budge
3.0,It serves it's purpose ... But I should have ordered a size up
3.0,"Material good only problem never looks like you removed it from your suitcase! The folds never unfold. I took it out of the bag it came in straightened them both out, left them for a day and a half....they still looked exactly the same as they did when they came out of the bag. Creases !!! Odd shape!! Sent them right back."
3.0,"It arrived with one of the interior tank top bands broken, and the belt isn't affixed on the front so it tends to slide out of place. I love the style of the dress and it fit my waist/length fine, but it just doesn't fit my broader shoulders.<br />5'4&#34;, 145 lbs."
3.0,"The idea for these straps are great, I have longer curly hair, and find that when I wear sunglasses with nose pieces whenever I try to prop them on my head when I dont need them the nose piece becomes tangled and nearly impossible to get out of my hair!  I was hoping these would help with that problem.  Unfortunately, my favorite pair of sunglasses have too thick of a stem to fit into the rubber tips of these straps. I did try them with an old pair of glasses with a smaller stem and found that they are easy to use and very secure feeling.  I would imagine they would last a long time with the right sized glasses.  Since this came in a pack of multiple straps I will share these with my husband and family members, I am sure some of them will have the right sized glasses for these straps! I was provided this product at a reduced price in exchange for my honest feedback. All of my reviews are my own unbiased, honest opinions.  I do not receive monetary compensation for my feedback and I am not required to leave positive reviews"
3.0,Supper cute my kids loge them but never recieved bracelets
3.0,Not anti fog at all!!!
3.0,"Colors appear heathered in advertised pics, but the black I ordered came solid, not heathered. Listed as a sweatshirt, but it is actually a very thin tee shirt. And not long enough to cover my rear when wearing leggings, as I had hoped (but I’m 5.9, so length may be perfect for others)."
3.0,"I thought maybe the largest size would fit me based on the measurements,  but it was much too snug in the ribcage. My cup size fit in the dress,  but the band size left me, literally breathless. I am probably 38D-40C for reference. It's a very cute beachy dress that would be great on someone with the right fit."
3.0,They are good glasses but the red seemed a little to bright for me. Im use to the blood red that our flag has. Other than that they are okay.
3.0,"These sunglasses look great and you can't beat the price. I have received many compliments.  They feel solid and seem like they will last. The only downside is the lenses aren't very dark, so if it is really bright you might still be squinting. For this reason I can only give 3 stars."
3.0,"Pretty anklet, just wish it was a little smaller."
3.0,"These are very cute, but are about what you'd expect in quality for the price.  They are not good to drive with, as there is too much reflection off the inside of the lenses.  They are dark enough that I have to take them off to read any electronic device, like my car's nav system or texts from my cell phone.  I bought them mostly for fun when out at the lake and beach, and they were good for that.  I also ran with them, and they were comfortable for that."
3.0,"This purse is super cute in the Rose Red color but a huge pain to use.  I ordered the smaller size, which is still fairly large.  The middle zipper slouches so horribly that it is basically useless.  Also, the straps are not as comfortable as they might look in the photo.  The straps are very snug around the shoulder. Further, the strap &#34;handles&#34; do not open up the purse, so when you go to open your purse, you basically have to part the canvas with your hands.  This purse would be better if it had no middle compartment, and if the strap handles actually opened the purse.  I haven't used the separate strap yet, so that might help with comfort, but this purse isn't as great as I thought it would be."
3.0,grog
3.0,"i returned the product.  is as advertised, but not exceptional, a bit thin, light, possibly better value for the money elsehwere"
3.0,"This could be an awesome jacket - but it misses the mark in a few places.  It certainly makes one wonder if the quality of Orvis products is trending lower.  First, as other reviewers have noted, the zipper is poor.  It reminds me of cheap metal zippers of the 1950's.  It takes two hands working carefully together to zip this jacket.  Come on Orvis - times have moved on!  Secondly, the &#34;insulation&#34; is paper thin and only extends from your neck down to your navel.  There is no insulation in the bottom third (13&#34;) of the jacket.  I can understand not insulating the bottom few inches - but this is just being cheap.  Finally, you would expect a $300 ($200 on sale) jacket to have an inside pocket.  This has none.  I suggest looking elsewhere for a good jacket."
3.0,"The dress is beautiful.  I love the way it pulls you in.  However, I don't like how it compresses my backside."
3.0,"The swimsuit is cute, but the material is very thin and the bottoms are somewhat see through!  I am hoping to return the suit soon."
3.0,way big in the sleeve
3.0,I'm extremely disappointed with the hat being crushed.
3.0,This scarf is cute but SO fluffy and huge I honestly feel awkward wearing it.
3.0,"They’re definitely cute, but a couple of the chain loops were badly scratched. Material composition feels cheap, I know they’ll tarnish and chip easy. I removed them from their original loops and put them on my existing keychains chains"
3.0,"I am normally a size 6, but  I ordered a large based on the size chart just to be on the safe side.  Even the large is small and tight and rubs under my armpits on both sides beacuse it rises up so high.  I usually don't post pictures with my reviews, but this was SO SMALL, I had to post pictures to show how tiny it is.  I would exchange for a lrger size, because it is kind of cute, but there is NO EXTRA LARGE."
3.0,"This shirt is nice, but it runs VERY small.  I’m normally a size 4 and a 34B.  I needed a large."
3.0,I was not satisfied with the color of the letters on the shirt. It is hard to tell they are dark green-they look more black or dark blue.
3.0,"These came to me with seams unraveling. I was able to cute the excess strings off, so they are not a total loss. They comfy and cute, but very very thin. I will only wear these at home."
3.0,"I guess this jacket is okay. The sleeves are a little short ((I ordered an XXL bc i wanted it big)) and tight, but that may just be me? ((I usually wear a Large)) It smelled kind of weird ((kind of like chlorine and fire crackers??)) I was expecting the color to be really gross and kind of turquoise but it's pretty true to the picture. The pockets are small and the buttons are dysfunctional  since there's no holes. I probably would've been really pissed with the quality of this item if it was more than $30, but you get what you pay for. I'll probably end up wearing it tbh"
3.0,Not sized correctly. I really likes this top. Disappointed.
3.0,Fgdxhgbj
3.0,Heavy & Cute but the clips that go into the hair fall off/came apart during the first wear.  Disappointed.
3.0,The quality was not what I was looking for. Sent back
3.0,Nice apron but the letter T is missing from the word don't. 🤔🧐
3.0,"Beautiful studs, but I found the post to be too short."
3.0,"The winder works perfectly, the only thing is that you cannot adjuta the different levels that the box has to wind up the watches."
3.0,Was sent the wrong style dress. Thankfully it for and worked out in the end. It's a bit difficult to zip over the ribbon/belt.
3.0,"I love the frames, but, the frames are made for smaller faces."
3.0,"I love this earpiece! it is a solid well-made cuff. Unfortunately, it is too small for my ear so I will be returning."
3.0,"I've been looking everywhere for a button free pullover flannel shirt.  I like the style.  However like other reviews, the material is stiff and itchy, and most importantly NOT FLANNEL, which traditionally is a soft fabric.  It looks like flannel, feels like an uncomfortable dress shirt.  Not sure if I'll keep it, just because there is nothing else out there in a similar style for now."
3.0,The times came off the cloves easily/  Glue not strong enough
3.0,The color was not as expected or shown in the picture
3.0,the width is good for my wide face
3.0,"I thought from the picture that this was a deep coral with lavender/blue flowers.  It's a light red/coral with purple flowers.  The purple really stands out!  There are also tiny pink flowers that don't go with any of the other colors. The light yellow leaves are nice.  The border on the bottom is nice but again the colors are just not right.  I got an XL in this.  I usually wear an XL.  This is way too big.  It's an empire waist dress - smocked elastic waist.  It's so full it makes me look pregnant!  At 67 that is not a look I want!  This dress is extremely long.  I am 5'8"" tall.  It piles around my feet.  The two sides are slit up to the knee on both sides.  The fabric is lightweight.  I like the 3/4 sleeves.  They are banded in thin elastic and aren't too tight.  The top opens with three buttons.  It's machine washable and hang or lay flat to dry.  It's made in China and is 100% polyester.  Very disappointing."
3.0,Disappointed that the hat is cotton and not corduroy.
3.0,It was very beautiful but unfortunately I’m not sure the actual pendant is fully sterling silver. It feels kinda cheap and it smells a lot like pennies which shouldn’t be the case if it’s sterling silver. I was really excited for this locket because I’ve been looking for a cute one for a while but I can’t confidently wear this without fear of it rusting or smelling so I have to return.
3.0,"I loved the feel of these, but as soon as I went to move, they fell down. They won't stay up and they're stretched out now. Disappointed."
3.0,"Not like the picture, the flowers are less detailed and the skulls are not silver the whole ring is just rose gold"
3.0,"There was not enough support in the top for the girls. I’m big busted and I don’t want them to accidentally fall out either. In the large, I needed a little more material. The extra large was perfect, but just not enough support.<br /><br />The large bottom fit. The extra large bottom was too long in the crotch."
3.0,"En apariencia y por la descripción entendí que era cuero pero al tenerlo supe que era sintético, me gusta pero me hubiera gustado más en cuero, clara que por el precio se debería de entender que no es de cuero."
3.0,"Love this necklace, very beautiful but it gets tangled very easily which makes me not enjoy wearing it..."
3.0,The material was not as expected - returned item
3.0,Cheap shoes… They have worked just fine as “Gap” shoes.. we packed his good tennis shoes for a move :-)  They haven’t lasted but that is Acceptable since my boys grow so fast
3.0,This dress is soft material but super long even with heels... I step on the bottom of the dress which makes it unsafe. I see now in the picture the model is stepping on the dress and that is exactly how it fits... It is very low cut but with a camisole is cute... I put a belt on to pull up the dress so I am ok with it... I would not purchase again.
3.0,Size was right but it was supposed to be a 3 pack and only received one pair so I am returning.
3.0,I haven't tried it on yet but I guess it will be just fine.
